数据库表型	标准项目名称
网织红细胞	网织红细胞百分比（RET%）
网织红细胞百分比	网织红细胞百分比（RET%）
维生素A	维生素A
维生素A(VA)	维生素A
维生素B1	维生素B1
维生素B1(VB1)	维生素B1
维生素B12	维生素B12
维生素B2	维生素B2
维生素B2(VB2)	维生素B2
维生素B6	维生素B6
维生素B6(VB6)	维生素B6
维生素B9	维生素B9
维生素B9(叶酸VB9)	维生素B9
维生素C	维生素C
维生素C(VC)	维生素C
维生素E	维生素E
维生素E(VE)	维生素E
胃蛋白酶Ⅰ/胃蛋白酶Ⅱ	胃蛋白酶Ⅰ/胃蛋白酶Ⅱ
胃蛋白酶原Ⅰ	胃蛋白酶原Ⅰ
胃蛋白酶原Ⅱ	胃蛋白酶原Ⅱ
胃泌素-17	胃泌素-17
胃泌素-17[餐后]	胃泌素-17[餐后]
胃泌素-17[空腹]	胃泌素-17[空腹]
胃泌素释放肽前体(ProGRP)	胃泌素释放肽前体(ProGRP)
HEV-IgG	戊型肝炎病毒抗体IgG
戊型肝炎病毒抗体IgG	戊型肝炎病毒抗体IgG
HEV-IgM	戊型肝炎病毒抗体IgM
戊型肝炎病毒抗体IgM	戊型肝炎病毒抗体IgM
烯醇化酶	烯醇化酶
细胞角蛋白19片段(CYFRA21-1)	细胞角蛋白19片段抗原（CYFRA21-1）
细胞学检查	细胞学检查
细菌结果	细菌结果
BV	细菌性阴道炎
纤毛柱状上皮细胞	纤毛柱状上皮细胞
FDP	纤维蛋白降解产物（FDP）
纤维蛋白降解产物	纤维蛋白降解产物（FDP）
FIB	纤维蛋白原（FIB）
纤维蛋白原	纤维蛋白原（FIB）
腺苷脱氨酶	腺苷脱氨酶
小圆上皮	小圆上皮
心型脂肪酸结合蛋白	心型脂肪酸结合蛋白
胸水氯化物	胸水氯化物
胸水葡萄糖	胸水葡萄糖
血氨	血氨
血沉方程K值	血沉方程K值
血管紧张素Ⅱ(AT-Ⅱ)卧位	血管紧张素Ⅱ(AT-Ⅱ)卧位
血管紧张素Ⅱ卧位	血管紧张素Ⅱ(AT-Ⅱ)卧位
血管紧张素Ⅱ(AT-Ⅱ)立位	血管紧张素Ⅱ(AT-Ⅱ)站位
血管紧张素Ⅱ站位	血管紧张素Ⅱ(AT-Ⅱ)站位
Hb	血红蛋白（HGB）
HGB	血红蛋白（HGB）
血红蛋白	血红蛋白（HGB）
D-二聚体	血浆D-二聚体（D-Dimer）
血浆D-二聚体	血浆D-二聚体（D-Dimer）
tCO2(P)	血浆二氧化碳总浓度【tCO2(P)】
血浆二氧化碳总浓度	血浆二氧化碳总浓度【tCO2(P)】
血浆粘度(mPa.s)|120(1/s)	血浆粘度(mPa.s)|120(1/s)
α1-微球蛋白测定	血清a1-微球蛋白
血清IgG	血清IgG
B2微球蛋白	血清β2微球蛋白
SAA	血清淀粉样蛋白A（SAA）
血清淀粉样蛋白A(SAA)	血清淀粉样蛋白A（SAA）
血清淀粉样蛋白测定(SAA)	血清淀粉样蛋白A（SAA）
血清降钙素原	血清降钙素原
血清铁	血清铁
PDW	血小板分布宽度（PDW）
血小板分布宽度	血小板分布宽度（PDW）
PLT	血小板计数（PLT）
血小板计数	血小板计数（PLT）
血小板形态镜检	血小板形态镜检
PCT	血小板压积（PCT）
血小板压积	血小板压积（PCT）
ctO2	血氧含量
亚胺培南	亚胺培南
亚硝酸盐	亚硝酸盐
颜色	颜色
SatO2	氧饱和度
PO2	氧分压【PO2】
氧分压	氧分压【PO2】
FO2Hb	氧合血红蛋白【FO2Hb】
氧合血红蛋白	氧合血红蛋白【FO2Hb】
tO2	氧总含量【tO2】
氧总含量	氧总含量【tO2】
叶酸	叶酸
衣原体	衣原体
胰岛素	胰岛素
胰岛素(IRI)120分钟	胰岛素(IRI)120分钟
胰岛素(IRI)180分钟	胰岛素(IRI)180分钟
胰岛素(IRI)240分钟	胰岛素(IRI)240分钟
胰岛素(IRI)30分钟	胰岛素(IRI)30分钟
胰岛素(IRI)60分钟	胰岛素(IRI)60分钟
胰岛素(IRI)90分钟	胰岛素(IRI)90分钟
胰岛素(IRI)空腹	胰岛素(IRI)空腹
HBVDNA	乙肝病毒DNA
乙肝病毒DNA	乙肝病毒DNA
乙型肝炎e抗体Anti-HBe	乙型肝炎e抗体（HBeAb）
乙型肝炎E抗体	乙型肝炎e抗体（HBeAb）
乙型肝炎e抗原HBeAg	乙型肝炎e抗原（HBeAg）
乙型肝炎E抗原	乙型肝炎e抗原（HBeAg）
乙型肝炎表面抗体Anti-HBs	乙型肝炎表面抗体（HBsAb）
乙型肝炎表面抗体	乙型肝炎表面抗体（HBsAb）
乙肝表面抗原精确定量	乙型肝炎表面抗原（HBsAg）
乙型肝炎表面抗原HBsAg	乙型肝炎表面抗原（HBsAg）
乙型肝炎表面抗原	乙型肝炎表面抗原（HBsAg）
乙型肝炎核心IgM抗体	乙型肝炎核心IgM抗体
乙型肝炎核心抗体Anti-HBc	乙型肝炎核心抗体（HBcAb）
乙型肝炎核心抗体	乙型肝炎核心抗体（HBcAb）
乙型肝炎前S1	乙型肝炎前S1
异常细胞%	异常细胞百分比
异淋%	异淋%
AG	阴离子隙【AG】
阴离子隙	阴离子隙【AG】
阴性对照管IFN-γ（N）	阴性对照管IFN-γ（N）
引流液蛋白	引流液蛋白
引流液透明度	引流液透明度
引流液颜色	引流液颜色
隐血	隐血试验
隐血试验	隐血试验
幽门螺杆菌	幽门螺杆菌
游离T3	游离T3
游离T4	游离T4
游离前列腺抗原	游离前列腺抗原
游离脂肪酸(NEFA)	游离脂肪酸(NEFA)
SO2	有效氧饱和度【SO2】
有效氧饱和度	有效氧饱和度【SO2】
载脂蛋白A1	载脂蛋白A1
载脂蛋白B	载脂蛋白B
载脂蛋白E	载脂蛋白E
早幼红细胞	早幼红细胞
早幼粒细胞	早幼粒细胞
真菌D-葡聚糖	真菌D-葡聚糖
真菌涂片检查	真菌涂片检查
脂蛋白(a)	脂蛋白(a)
脂肪酶	脂肪酶
脂肪球	脂肪球
脂血	脂血
直接胆红素	直接胆红素
中性杆核%	中性杆核百分比
GRAN%	中性粒细胞百分比（GRAN%）
中性粒细胞	中性粒细胞百分比（GRAN%）
GRAN#	中性粒细胞计数
中性粒细胞计数	中性粒细胞计数
中幼红细胞	中幼红细胞
转铁蛋白	转铁蛋白
TRF	转铁蛋白
转铁蛋白饱和度	转铁蛋白饱和度
总胆固醇	总胆固醇
总胆红素	总胆红素
总胆汁酸	总胆汁酸
总蛋白	总蛋白
总铁结合力	总铁结合力
tHb	总血红蛋白浓度【tHb】
左旋氧氟沙星	左氧氟沙星
左氧氟沙星	左氧氟沙星
白介素-8 	白介素-8
白介素-6 	白介素-6
C-反应蛋白(CRP)	C反应蛋白
糖链抗原242(流式荧光发光法)	CA242
乳糜尿	乳糜试验
抗线粒体抗体 	抗线粒体抗体
抗核膜糖蛋白 210抗体	抗核膜糖蛋白210抗体
高危型人乳头瘤病毒DNA  (含13种亚型)	高危型人乳头瘤病毒DNA(含13种亚型)
高危型人乳头瘤病毒DNA	高危型人乳头瘤病毒DNA(含14种亚型)
ABO血型鉴定	ABO血型鉴定
中性晚幼粒	嗜中性晚幼粒细胞
卵磷脂小体	卵磷脂小体
尿红细胞(手工)	尿红细胞计数
FT4	游离T4
FT3	游离T3
胰岛素(IRI)120'	胰岛素(IRI)120分钟
β球蛋白2	血清β2微球蛋白
铁蛋白(Ferritin)	铁蛋白
糖化血红蛋白HbA1C	糖化血红蛋白
三碘甲状腺原氨酸(TT3)	三碘甲状腺原氨酸
尿LAM轻链	尿轻链λ
流式细胞CD64	流式细胞CD64指数
HCT	红细胞比积
促甲状腺激素(TSH)	促甲状腺激素(TSH)
HCVRNA	丙肝病毒RNA
血清白蛋白	白蛋白
流式细胞CD3CD8	CD8+百分比
流式细胞CD3CD4	CD4+百分比
流式细胞CD3	CD3+百分比
CD19	CD19+百分比
CA12-5	CA125
甲状腺球蛋白(TG)	甲状腺球蛋白(Tg)
β-内酰胺酶	超广谱β-内酰胺酶检测
